NArea_RainMedium,WORKYEAR,NIDO,DATE,Time0,Time,Event,BroodReduction,HatchAsync,PROPORTIONALRANK
0,1995,95-097,1995-06-25,7,8,1,0,6,0.173776656
0,1995,95-097,1995-07-02,8,9,1,0,6,0.173776656
0,1995,95-097,1995-07-06,9,10,1,1,6,0.173776656
0.015873015873015872,1991,91-362,1991-04-29,1,2,0,0,0,0.436329573
0.015873015873015872,1991,91-362,1991-05-06,2,3,0,0,0,0.436329573
0.015873015873015872,1991,91-362,1991-05-13,3,4,0,0,0,0.436329573
0.015873015873015872,1991,91-362,1991-05-20,4,5,0,0,0,0.436329573
0.015873015873015872,1991,91-362,1991-05-27,5,6,0,0,0,0.436329573
0,1991,91-362,1991-06-03,6,7,0,0,0,0.436329573
0,1991,91-362,1991-06-10,7,8,0,0,0,0.436329573
0,1991,91-362,1991-06-17,8,9,0,0,0,0.436329573
0,1991,91-362,1991-06-21,9,10,0,0,0,0.436329573
0.047619047619047616,1994,94-463,1994-04-21,1,2,0,0,4,0.443084449
0.047619047619047616,1994,94-463,1994-04-28,2,3,0,0,4,0.443084449
0.047619047619047616,1994,94-463,1994-05-05,3,4,0,0,4,0.443084449
0.031746031746031744,1994,94-463,1994-05-12,4,5,0,0,4,0.443084449
0.031746031746031744,1994,94-463,1994-05-19,5,6,0,0,4,0.443084449
0.031746031746031744,1994,94-463,1994-05-26,6,7,0,0,4,0.443084449
0.031746031746031744,1994,94-463,1994-06-02,7,8,0,0,4,0.443084449
0.031746031746031744,1994,94-463,1994-06-09,8,9,0,0,4,0.443084449
0.015873015873015872,1994,94-463,1994-06-13,9,10,0,0,4,0.443084449
0.031746031746031744,1998,98-323,1998-03-23,1,2,0,0,6,0.443986267
0.031746031746031744,1998,98-323,1998-03-30,2,3,0,1,6,0.443986267
0.047619047619047616,1998,98-323,1998-04-06,3,4,1,0,6,0.443986267
0.031746031746031744,1998,98-323,1998-04-13,4,5,1,0,6,0.443986267
0.031746031746031744,1998,98-323,1998-04-20,5,6,1,0,6,0.443986267
0.031746031746031744,1998,98-323,1998-04-27,6,7,1,0,6,0.443986267
0.031746031746031744,1998,98-323,1998-05-04,7,8,1,0,6,0.443986267
0.031746031746031744,1998,98-323,1998-05-11,8,9,1,0,6,0.443986267
0.015873015873015872,1998,98-323,1998-05-15,9,10,1,1,6,0.443986267
0.12698412698412698,1997,97-728,1997-03-15,1,2,0,0,4,0.659883738
0.12698412698412698,1997,97-728,1997-03-22,2,3,0,0,4,0.659883738
0.09523809523809523,1997,97-728,1997-03-29,3,4,0,0,4,0.659883738
0.09523809523809523,1997,97-728,1997-04-05,4,5,0,0,4,0.659883738
0.07936507936507936,1997,97-728,1997-04-12,5,6,0,0,4,0.659883738
0.09523809523809523,1997,97-728,1997-04-19,6,7,0,0,4,0.659883738
0.09523809523809523,1997,97-728,1997-04-26,7,8,0,0,4,0.659883738
0.06349206349206349,1997,97-728,1997-05-03,8,9,0,0,4,0.659883738
0.09523809523809523,1997,97-728,1997-05-07,9,10,0,0,4,0.659883738
0.031746031746031744,1994,94-745,1994-05-07,1,2,0,0,9,0.539167702
0.031746031746031744,1994,94-745,1994-05-14,2,3,0,0,9,0.539167702
